nombre,frec,edad_media
GISELA,448,36.93
MA DE LOS ANGELES,445,46.72
MARIA ESTELA,441,48.1
LUISA,439,45.32
MARIA INES,439,45.1
GENOVEVA,438,45.44
BEATRIZ ADRIANA,437,32.68
TOMASA,435,46.53
MA. DE JESUS,434,46.49
MARIA JESUS,433,45.13
ABIGAIL,428,35.79
MARIA LUZ,428,47.76
NAYELI,427,28.83
VIOLETA,426,38.39
KARLA,424,32.03
LUZ DEL CARMEN,423,41.81
ELOISA,422,43.75
SELENE,422,33.18
MARITZA,421,34.97
MARLENE,415,37.07
ARACELY,413,36.82
MA. ELENA,410,47.12
MA TERESA,408,48.08
FELICITAS,406,46.68
JANET,406,32.57
ARELI,404,35.1
AGUSTINA,401,46.35
AMPARO,401,46.27
DANIELA,400,28.25
ENRIQUETA,399,47.98
JESSICA,399,29.28
MARIELA,399,34.26
NORMA LETICIA,396,41.85
TANIA,396,31.82
ADELINA,395,43.43
MARIA ROSARIO,395,45.3
LAURA PATRICIA,394,39.41
MARTHA LETICIA,394,44.14
YURIDIA,393,30.33
CARMELA,392,42.99
MARIA ROCIO,392,46.33
ANA,390,43.26
AURELIA,387,46.9
CANDELARIA,386,43.99
MARIA GABRIELA,385,40.03
MARILU,383,41.69
JOSEFA,382,46.58
JACQUELINE,380,35.79
NATALIA,380,42.23
ERENDIRA,379,38.84
MA. DEL ROSARIO,377,45.36
YANET,374,33.89
LUCERO,373,33.16
LUCINA,372,45.19
DELFINA,371,46.09
HERLINDA,371,45.94
JAZMIN,371,29.75
ALEJANDRINA,369,43.79
MA CONCEPCION,368,48.38
VIANEY,366,34.15
JOVITA,364,46.01
RAMONA,361,48.67
NELLY,353,38.89
MARIA CANDELARIA,351,43.67
MARIA PATRICIA,350,45.64
ROSALINA,348,45.49
ROXANA,347,34.73
MA. DE LOURDES,345,45.49
ARCELIA,342,44.23
RAFAELA,340,46.91
GREGORIA,337,46.44
MA DE LA LUZ,336,48
MARIA MARGARITA,336,47.12
FELIPA,334,46.21
ENEDINA,328,43.77
MA DEL SOCORRO,328,47.28
MA LUISA,327,48.46
MARCELINA,327,45.66
