nombre,frec,edad_media
DOLORES PATRICIA,19,45.21
DULCE PATRICIA,19,33.79
EDAENA,19,40.68
EDITH MARGARITA,19,42.89
ELIZABETH CRISTINA,19,36.89
ELSY NOEMI,19,43.47
ELVIRA GUADALUPE,19,41.11
EMERITA,19,44.95
ERIKA DEL ROCIO,19,33
ERIKA EDITH,19,31.16
ERIKA LORENA,19,33.68
EUDOXIA,19,49.37
FLOR IDALIA,19,32.32
FLOR ISELA,19,34.74
FLORA MARIA,19,44.53
GARDENIA,19,34.47
GUADALUPE MARGARITA,19,45.58
GUADALUPE VICTORIA,19,44.2
HELEN,19,35.05
IMELDA GUADALUPE,19,39.45
IRMA CECILIA,19,41.16
IRMA IRENE,19,50.53
JENY,19,31.74
JESSICA LIZETH,19,27.89
JUANA ADRIANA,19,35.89
KAREN ELIZABETH,19,26.47
LAURA MONICA,19,39.53
LETICIA ALEJANDRA,19,36.63
LETICIA ELIZABETH,19,42.84
LIDIA ELIZABETH,19,38.52
LIGIA MARIA,19,46.84
LILIA ADRIANA,19,38.32
LILIANA PATRICIA,19,32.74
LORENA DEL ROCIO,19,40.63
LUZ ALBA,19,43.11
LUZ ARELI,19,28.26
LUZ DEL CARM,19,43.05
LUZ DIVINA,19,36.84
LUZ MA.,19,45.16
M. GUADALUPE,19,48.79
MA AUXILIO,19,50.16
MA DE LA CRUZ,19,48.68
MA ENRIQUETA,19,48.11
MA GUILLERMINA,19,49.42
MA MARTINA,19,47.42
MA PILAR,19,46.79
MA. ROCIO,19,44.79
MARGARITA LETICIA,19,51.32
MARIA ABIGAIL,19,40.63
MARIA ARACELY,19,40.79
MARIA DEL MAR,19,30.53
MARIA EUFEMIA,19,46.11
MARIA EUSTOLIA,19,46.16
MARIA FELIPA,19,44.95
MARIA HAYDEE,19,41.26
MARIA ISAURA,19,45.42
MARIA LO,19,50.63
MARIA NOHEMI,19,41.63
MARIA YAZMIN,19,34.32
MARICELA DEL CARMEN,19,42.42
MARTHA DOLORES,19,45.26
MARTHA GRISELDA,19,40.74
MARTHA VICTORIA,19,46.42
MAYRA ARACELI,19,35.63
MAYRA BEATRIZ,19,32
MAYRA CECILIA,19,31.58
MONICA YAZMIN,19,31.32
MORAYMA,19,41.74
NANCY ANGELICA,19,34.79
NELLY GUADALUPE,19,37.42
NORMA ANGEL,19,43.74
NORMA SILVIA,19,46.74
OLGA ELIZABETH,19,39.05
ONELIA,19,43.29
PALOMA GUADALUPE,19,30.11
PATRICIA DEL SOCORRO,19,41.79
PERLA ROCIO,19,32.58
RAMONA GUADALUPE,19,41.74
REINA ISABEL,19,37.58
RITA PATRICIA,19,43.89
ROCIO EDITH,19,42.65
ROSA NELY,19,41.95
ROSALBA GUADALUPE,19,35
ROXANA GUADALUPE,19,31.37
SANDRA PAOLA,19,28.79
SANTOS,19,46.81
SARA ANGELICA,19,40.26
SHARON,19,32.2
SHIRLEY,19,31.21
SILVIA CRISTINA,19,43.16
SOBEIDA,19,40.63
SUSANA MARIA,19,42.84
TALINA,19,31
URBANA,19,47.89
VENUS,19,40.53
VERONICA ARACELI,19,41.47
XOCHITL PATRICIA,19,42.11
YADIRA ALEJANDRA,19,30.89
YAHAIRA,19,28.68
YOLANDA BEATRIZ,19,43.32
YSABEL,19,47.55
ZAYRA,19,31.95
ADALBERTA,18,41.89
ADRIANA DE JESUS,18,38.11
ADRIANA EDITH,18,36.39
AIME,18,36.05
ALDEGUNDA,18,49
ANA BELLA,18,39.22
ANA MERCEDES,18,39.67
ANGELICA ISABEL,18,36.22
ARLEN,18,30.11
ARLETH,18,31.83
BELLANIRA,18,37.94
BENILDE,18,47.28
BLANCA ALEJANDRA,18,38.61
BLANCA ERIKA,18,35.89
BLANCA ESTE,18,46.05
BRENDA LIZBETH,18,29.56
BRISEYDA,18,31.67
CARLA MARIA,18,32.39
CARMEN DELIA,18,42.72
CARMEN SILVIA,18,44.83
CELIA MARGARITA,18,44.06
CESILIA,18,41.56
CLAUDIA CONCEPCION,18,39.06
CLAUDIA JOSEFINA,18,36.58
CLAUDIA RAQUEL,18,35.17
CLAUDIA YAZMIN,18,28.78
CLEOPATRA,18,41.06
DALIA MARGARITA,18,36.22
DE LOURDES,18,48.17
DELIA GUADALUPE,18,35.72
DIANA LUCIA,18,31.39
DORA MARGARITA,18,45.61
EDNA EDITH,18,36.83
EDNA MARIA,18,38.78
ELDA GUADALUPE,18,38
ELENA MARGARITA,18,41.33
ELIGIA,18,48.21
ELIUD,18,39.48
ELSA ALEJANDRA,18,37.56
ELVIA ELENA,18,45.11
EMETERIA,18,48.17
EPIGMENIA,18,44.22
ERIKA CECILIA,18,32.28
ERIKA JANET,18,30.61
ERIKA LIZETH,18,29.17
ESPERANZA GUADALUPE,18,44.94
EVA ANGELINA,18,46.83
EVA ELIZABETH,18,38.56
GABRIELA ADRIANA,18,35.28
GERALDINE,18,30.67
GIOVANNA,18,29.94
GUADALUPE ANGELICA,18,36.94
GUADALUPE DEL PILAR,18,39.67
GUADALUPE IRENE,18,44.72
GUISELA,18,39.83
HILDA ELISA,18,43.56
IRMA DOLORES,18,46.89
ITZEL GUADALUPE,18,25.39
JESUS MARIA,18,48.42
JUANA CECILIA,18,38.33
JUANA IMELDA,18,42.89
JUANA YOLANDA,18,49.83
KARINA IVONNE,18,32.94
KARLA ELENA,18,33.61
KATYA,18,35.28
LAURA GRACIELA,18,42.89
LAURA LIZETH,18,27.22
LAURA MIREYA,18,37.5
LEONOR HILDA,18,45.94
LILIANA GABRIELA,18,31.5
LIZETT,18,30.17
LOURDES ADRIANA,18,35.11
LOURDES BEATRIZ,18,43.17
LUISA GUADALUPE,18,38.17
LUZ AMELIA,18,43.94
MA ADRIANA,18,41.06
MA AURORA,18,45.56
MA DE LOS A,18,49.56
MA DEL CARME,18,49.39
MA ELVIRA,18,49.89
MA HORTENCIA,18,49.89
MA REYNA,18,43.5
MA TERESA DE JESUS,18,45
MA. ENRIQUETA,18,46.28
MA. FRANCISCA,18,46.61
MA. OFELIA,18,46.78
MARGARIT,18,47.96
MARGARITA ROSA,18,50.22
MARIA ANGEL,18,45.83
MARIA ANGELI,18,46.06
MARIA AUXILIADORA,18,47
MARIA BENITA,18,45.17
MARIA CARMINA,18,42.94
MARIA DEL P,18,47.11
MARIA ELEAZAR,18,47.72
MARIA ESTRELLA,18,41.61
MARIA HERMILA,18,50.33
MARIA HERMINIA,18,49
MARIA OTILIA,18,45.5
MARIA REINA,18,45
MARIA SALUD,18,46.28
MARIELA GUADALUPE,18,33.06
MARILUZ,18,40
MARINA GUADALUPE,18,37.89
MARITZA GUADALUPE,18,35.72
MARTHA L,18,48.06
MARTHA P,18,47.33
MAYDA,18,39.83
MAYRA ALICIA,18,36.63
MIRNA LORENA,18,39.39
MIRTHA,18,45.83
MONICA BERENICE,18,31.22
MONICA JUDITH,18,33.06
MORAIMA,18,43.83
NANCY ALEJANDRA,18,30.11
NANCY LORENA,18,36.83
NATIVIDAD DEL CARMEN,18,38.58
NIDIA GUADALUPE,18,33.06
NORA GABRIELA,18,37.17
NORMA ELIA,18,41.61
NORMA EUGENIA,18,45.44
NORMA GRACIELA,18,41.39
NORMA ROCIO,18,43.17
NORMA YADIRA,18,38.56
OLGA CECILIA,18,39.06
PAOLA BERENICE,18,28.22
PATRICIA ANGELICA,18,42.67
PATRICIA BEATRIZ,18,42.28
PERLA JUDITH,18,31
ROSA ARMIDA,18,51.78
ROSA CRISTINA,18,41.28
ROSA VERONICA,18,36.83
RUBI DEL CARMEN,18,35.39
RUTILIA,18,44.72
SANDRA ISELA,18,34.44
SANDRA LIZBETH,18,26.83
SANDRA PAULINA,18,28.78
SILVIA KARINA,18,30.72
SILVIA ROSA,18,47
SINAI,18,31.71
SIRENIA,18,39.5
TABITA,18,40.78
TERESA DE,18,48.72
THANIA,18,31.22
VERONICA ADRIANA,18,37.61
VERONICA DEL ROCIO,18,36.44
VIRIDIANA GUADALUPE,18,26.28
XOCHITL ADRIANA,18,33.39
YEDID,18,32.89
YESIKA,18,30.61
AGAPITA,17,44.71
AIDA ARACELY,17,39.06
AIDA MARGARITA,17,42.35
ALMA ADRIANA,17,37.88
ALMA DELFINA,17,29.53
ALMA ESTHER,17,39.71
ALMA FABIOLA,17,33.29
ALMA IRENE,17,44.94
ANA ESPERANZA,17,37
ANA VIRGINIA,17,43.53
ANABELLE,17,38.12
ANAHY,17,27.88
ANDREA MARGARITA,17,42.29
ARCENIA,17,43.29
BETZAIDA,17,31.94
BIANCA,17,28.82
BLANCA ANDREA,17,43.41
BLANCA BEATRIZ,17,40.41
BLANCA E,17,47.24
BLANCA INES,17,42.12
BLANCA IVONNE,17,32.53
BLASA,17,47.88
BRENDA ROCIO,17,33
BUENAVENTURA,17,48.43
CARLA GUADALUPE,17,31.53
CARMEN DEL ROSARIO,17,43.53
CARMEN LUCIA,17,40.71
CENORINA,17,41.53
CINTHIA GUADALUPE,17,29.47
CLAUDIA EUGENIA,17,38.18
CLAUDIA JAZMIN,17,30.35
CLAUDIA LILIA,17,39.65
CLAUDIA LUZ,17,39.65
CONCEPCION DEL CARMEN,17,41.22
DIANA LIZBETH,17,29.29
DIANA MARIBEL,17,33.76
DULCE MARI,17,44.59
ELIA GUADALUPE,17,38.47
ELISA GUADALUPE,17,37.18
ELIZA,17,41.47
ELSA DEL CARMEN,17,43.76
ELSA LORENA,17,43.59
ERIKA SELENE,17,33.53
GISELLE,17,32.29
GLADYS GUADALUPE,17,34.65
GLORIA EUGENIA,17,44.06
GLORIA JOSEFINA,17,47.65
GRACIA,17,53
GUADALUPE FABIOLA,17,36.82
HILDA ALICIA,17,40.94
HILDEBERTA,17,40.29
IRIS GUADALUPE,17,31.06
IRMA MARGARITA,17,40.59
IRMA ROCIO,17,42.88
ISABELA,17,35.88
JAZMIN GUADALUPE,17,28.35
JUANA DE LA CRUZ,17,44.29
JULIA ALEJANDRA,17,32
KAREN LIZETH,17,25.59
KARLA LIZBETH,17,29.88
LAURA ANTONIA,17,41.59
LAURA NOEMI,17,39.41
LAURA OFELIA,17,43.41
LIDIA PATRICIA,17,40
LILIA DEL SOCORRO,17,44.12
LILIANA BERENICE,17,31.12
LORENA EDITH,17,38.18
LOURDES ANGELICA,17,42.18
LOURDES MARIA,17,42.18
LUCERITO,17,28.47
LUCIA MARGARITA,17,43.59
LUZ EVELIA,17,38
MA ELIA,17,46.35
MA ESTHELA,17,48
MA OLIVIA,17,50.18
MA. AMPARO,17,53.78
MA. AUXILIO,17,50
MA. GRACIELA,17,49.41
MAGDA GUADALUPE,17,38
MARIA AN,17,46.82
MARIA ANGELIC,17,46.29
MARIA BERNARDA,17,49.82
MARIA CARLOTA,17,43.65
MARIA DALIA,17,42.41
MARIA FLORA,17,43
MARIA FLORENCIA,17,45.06
MARIA GEMA,17,50.71
MARIA GU,17,49.41
MARIA LOURD,17,48.29
MARIA LOURDE,17,48.41
MARIA LUCRECIA,17,45.22
MARIBEL DEL CARMEN,17,37.88
MARIBELL,17,41.59
MARTHA ANTONIA,17,46.29
MARTHA AZUCENA,17,35.76
MARTHA CLAUDIA,17,42.47
MARTHA PATR,17,45.65
MAYRA DEL CARMEN,17,31.59
MAYRA FABIOLA,17,30.76
MAYRA ROCIO,17,34.24
MIRIAM ARACELI,17,36.59
MIRIAM JUDITH,17,34.24
MIRIAM LIZBETH,17,29
MIRNA ANGELICA,17,39.06
MONICA MARGARITA,17,40.35
NADIA ELIZABETH,17,31.33
NADIA GUADALUPE,17,32.12
NANCY BERENICE,17,27.94
NANCY CAROLINA,17,30.71
NATHALIE,17,27.71
NATHALY,17,26.53
NORMA ANGELI,17,45.06
NORMA ESPERANZA,17,39.18
NORMA MARIA,17,42.59
OLGA YOLANDA,17,49.35
PATRICIA DE JESUS,17,40.94
PERLA DEL ROCIO,17,33.88
PERLA RUBI,17,29.71
PERLA YADIRA,17,30.71
REINA GUADALUPE,17,36.47
REYES,17,46.42
ROSA ELISA,17,42.59
ROSA ILIANA,17,35.06
ROSA LINA,17,45.59
ROSA MAR,17,47.24
SAIDA,17,39
SANDRA CRISTINA,17,34.59
SANDRA DEL CARMEN,17,38.94
SANDRA ESTHER,17,38.65
SANDRA MARIBEL,17,37.65
SANDRA MONICA,17,36.24
SARA ELIA,17,44.76
SILVIA IVONNE,17,38.71
SILVIA JUDITH,17,37.71
SILVIA NOEMI,17,46
SONIA ARACELI,17,41.82
SONIA LORENA,17,40.18
SUSANA ARACELI,17,40.82
TERESITA DEL NIÑO JESUS,17,46.53
VERONICA ALICIA,17,38.18
WENDOLYN,17,30.33
WENDY DEL CARMEN,17,32.24
WENDY PATRICIA,17,31.82
YADHIRA,17,35.41
YAQUELINE,17,37.06
YARENI,17,30.53
YAZMIN ALEJANDRA,17,28.06
YRMA,17,50.29
ZOILA FLOR,17,33.76
ZOYLA,17,44.06
ZURISADAI,17,26.95
ADRIANA ANGELICA,16,34.62
ADRIANA LUCIA,16,35.25
ALBA ELENA,16,38.31
ALBA MARGARITA,16,36.5
ALMA IRIS,16,34.19
ALONDRA GUADALUPE,16,28.25
AMBROSIA,16,47.75
AMERICA GUADALUPE,16,33
ANA ARACELI,16,42.69
ANA BEL,16,34.69
ANA ERIKA,16,34.75
ANA GRISELDA,16,36.19
ANA MARIA DE JESUS,16,42.31
ANA RAQUEL,16,38.38
ANA YADIRA,16,35.81
ANABELLA,16,40.44
ANAVEL,16,40.75
ANGELICA MARGARITA,16,40.44
APOLINARIA,16,45
ARSENIA,16,41.75
AURORA MARGARITA,16,37
AVIGAIL,16,41.81
BACILIA,16,44.69
BERTHA CECILIA,16,42
BLANCA HILDA,16,44.38
BLANCA MARICELA,16,45.69
BLANCA MIREYA,16,41.38
BRENDA CECILIA,16,29.81
BRENDA JANETH,16,28.75
BRENDA LORENA,16,32.31
BRENDA SELENE,16,30.81
CARMEN AIDA,16,44.19
CARMEN OLIVIA,16,42.56
CAROLINA ELIZABETH,16,30.38
CLAUDIA NOEMI,16,32.81
CLAUDIA YOLANDA,16,36.25
CRISTINA DEL CARMEN,16,39.19
CRISTINA MARGARITA,16,41.19
DIANA ALICIA,16,40
DIANA ISELA,16,32.75
DIANA ITZEL,16,28.06
DIANA PAOLA,16,26.94
DORA DELIA,16,46.56
DORA ESTELA,16,48.38
DORA IRMA,16,46.31
DULCE GABRIELA,16,29.5
DUNIA,16,33
EDITH ALEJANDRA,16,30.69
EDITH ELIZABETH,16,34.31
ELSA GABRIELA,16,42
ELSI,16,42.31
ELVA GUADALUPE,16,42.5
ELVA LETICIA,16,46.88
ELVA PATRICIA,16,43.19
EMMA PATRICIA,16,45.19
ERIKA KARINA,16,32.12
ESBEIDY,16,33.81
ESMERALDA GUADALUPE,16,31.38
EUTIQUIA,16,45.75
EVA DEL CARMEN,16,41.19
FELIZA,16,43.44
FLOR EDITH,16,32.94
FORTINA,16,43.31
GABRIELA BEATRIZ,16,37.62
GEORGINA ELIZABETH,16,39.94
GLORIA YOLANDA,16,50.44
GONZALA,16,46.31
GRACIELA DEL CARMEN,16,39.38
GUADALUPE MARIBEL,16,40.25
HELADIA,16,46.44
HORALIA,16,44.62
ILDEFONSA,16,44.88
ILEANA BEATRIZ,16,38.88
ILEANA GUADALUPE,16,41.88
IMELDA PATRICIA,16,40
IRAN,16,36.15
IRMA ADRIANA,16,43.88
IRMA KARINA,16,36.38
IRMA MARIA,16,45.69
JANNETTE,16,34.62
JESSICA PAOLA,16,27.29
JESUSITA,16,41.75
JOANNA,16,29.44
JOSEFINA GUADALUPE,16,42.75
JUANA ANTONIA,16,43.56
JUANA BERENICE,16,31.25
JUANA DE JESUS,16,44
JUANA ISELA,16,35.88
JUANA MARTHA,16,47.62
JUANA ROSA,16,45.28
JULIA MARGARITA,16,41.75
KAREN GUADALUPE,16,25.81
KARLA CRISTINA,16,28.75
KARLA JANET,16,30.31
KARLA MARISOL,16,29.62
KENIA GUADALUPE,16,31.69
LAURA IVETTE,16,31.62
LAURA LUCIA,16,36
LAURA MARICELA,16,37.94
LAURA MARISOL,16,30.38
LAURA MERCEDES,16,42.62
LAURA REBECA,16,44.44
LETICIA DE JESUS,16,49.5
LETICIA DEL SOCORRO,16,44.38
LETICIA YOLANDA,16,48.88
LIDIA MARGARITA,16,41.31
LILY,16,37
LIZZET,16,30.62
LLUVIA,16,34.69
LORENA ALEJANDRA,16,33.75
LOURDES ALEJANDRA,16,35.06
LUZ BEATRIZ,16,46.5
LUZ TERESA,16,46.56
MA CAROLINA,16,48.19
MA DE LOS ANG,16,46.56
MA DEL CARM,16,50.19
MA GEORGINA,16,45.12
MA GRISELDA,16,45.69
MA LILIA,16,48.5
MA SARA,16,52.44
MA! GUADALUPE,16,50.19
MA. ASCENCION,16,50.25
MA. AZUCENA,16,45.81
MA. ELVIRA,16,48.81
MA. LORENA,16,42.31
MACARENA,16,44.38
MADAY,16,34.69
MARGARITA DEL ROSARIO,16,39.94
MARGARITA DEL SOCORRO,16,44.12
MARIA CARIDAD,16,47.31
MARIA CRIST,16,48.69
MARIA D,16,47
MARIA DE LOS ANGE,16,41.31
MARIA DORA,16,52.25
MARIA HILARIA,16,48.88
MARIA ILIANA,16,43.25
MARIA LU,16,48.19
MARIA REGINA,16,45.44
MARIA VANESSA,16,31.25
MARIA ZOILA,16,44.31
MARICELA GUADALUPE,16,43.94
MARLA,16,34.69
MARTA LETICIA,16,47.25
MAYRA BERENICE,16,28.31
MAYRA CRISTINA,16,33.75
MAYRA LIZBETH,16,27.88
MIRIAM JANET,16,30.88
MIRIAM LORENA,16,36.44
MIRNA ISABEL,16,42.88
MIRNA PATRICIA,16,38.62
MONICA FABIOLA,16,32.88
NANCY ARACELY,16,32.19
NANCY BEATRIZ,16,32.31
NANCY ESMERALDA,16,33.06
NORMA ERIKA,16,33
NORMA SUSANA,16,37.88
OCOTLAN,16,42.75
OLGA VERONICA,16,37.56
OLIVERIA,16,45.38
OLIVIA DEL CARMEN,16,42.62
ORLANDA,16,46.44
PATRICIA VERONICA,16,38.56
PERLA ESMERALDA,16,30.19
PERLA JAZMIN,16,27.38
RAMONA ALICIA,16,45.19
REYNA ANGELICA,16,36.62
REYNA ESTHER,16,37.88
ROCIO ARACELI,16,40.56
ROCIO BERENICE,16,32.38
ROCIO DE LOS ANGELES,16,39.38
ROCIO GABRIELA,16,34.06
ROSA MARIA DEL CARMEN,16,46.5
ROSA MARIA GUADALUPE,16,48.31
RUBI ESMERALDA,16,29.62
RUTH GUADALUPE,16,39.69
RUTH NOEMI,16,40.62
SARA BERTHA,16,45.88
SILVIA DEL SOCORRO,16,45.88
SILVIANA,16,44.06
SIRIA,16,40.12
TANIA BERENICE,16,31.12
URANIA,16,43.81
VERONICA DE JESUS,16,41.19
WENDOLYNE,16,31.5
YAMILE,16,34.62
ADRIANA LORENA,15,34.93
ALBA ROCIO,15,31.87
ALMA CELIA,15,44
ALMA DOLORES,15,43.33
ALMA ELIA,15,41.07
ALMA ESTELA,15,44.27
ALMA JOSEFINA,15,45.2
ALMA SILVIA,15,44.53
ALMA SUSANA,15,43.2
ANA CATALINA,15,38.38
ANA FRANCISCA,15,42.2
ANA IRMA,15,44.2
ANA JOSEFINA,15,44.6
ANA JUDITH,15,37.73
ANA MARICELA,15,36.73
ANABERTA,15,43.53
ANAYANCY,15,32.2
ANGELICA MAR,15,45.73
ANILU,15,34.73
ARACELI MARGARITA,15,40.07
ARELIS,15,35
ARISBE,15,34.6
BEATRIZ ARACELI,15,39.2
BETSAIDA,15,29.33
BETY,15,42.13
BIVIANA,15,33.2
BLANCA BERENICE,15,30.6
BLANCA DALIA,15,41.27
BLANCA EST,15,44.53
BRENDA CAROLINA,15,29.93
BRENDA DEL CARMEN,15,31.73
BRENDA LUZ,15,34.75
BRENDA YAZMIN,15,28.27
CARMEN ISABEL,15,40.93
CARMEN MARGARITA,15,46.07
CARMEN ROCIO,15,41.67
CARMEN TERESA,15,46.73
CARMEN YADIRA,15,36.13
CAROLINA DEL CARMEN,15,33.87
CLARIVEL,15,39
CLAUDIA DE JESUS,15,32.6
CLAUDIA GISELA,15,33.4
CLAUDIA SOLEDAD,15,36.33
CLAUDIA VIRGINIA,15,37.6
CLAUDIA YANET,15,32.67
CRISANTEMA,15,44.73
CRISTINA ALEJANDRA,15,32.07
CYNTHIA KARINA,15,29.47
DENICE,15,31.06
DIANA MARCELA,15,29
DULCE ADRIANA,15,32.67
DULCE MARIA GUADALUPE,15,38
EDITH DEL CARMEN,15,41.4
ELISEA,15,48.13
EMMA YOLANDA,15,42.6
ERCILIA,15,42.8
ERIKA LIZBETH,15,29.94
ERIKA NOEMI,15,31.93
ESPERANZA DE JESUS,15,43.8
EVA EDITH,15,37.73
FILOGONIA,15,45.27
FLOR SILVESTRE,15,40.47
FLORIANA,15,41.44
FULGENCIA,15,47.67
GABRIELA CONCEPCION,15,38.13
GABRIELA DEL ROCIO,15,33.73
GABRIELA EDITH,15,32.8
GLORIA IRMA,15,47.67
GLORIA LAURA,15,46
GLORIA MARTHA,15,44.6
GRISELL,15,36.33
GUADALUPE DE LOS ANGELES,15,37.88
GUADALUPE IVONNE,15,35.8
GUADALUPE VERONICA,15,38
HELIDA,15,45.2
HILDA GABRIELA,15,37.93
IDALIA GUADALUPE,15,33
IRINA,15,39.2
IRMA ESTHER,15,44.07
JACOBA,15,47.93
JAZMIN ALEJANDRA,15,27.8
JESSICA YADIRA,15,30.47
JOHANNA,15,32.13
JUANA LUCIA,15,43.4
JUANA OLIVIA,15,43.53
JULIA DEL CARMEN,15,39.4
KARINA LIZBETH,15,29.53
KARLA ANGELICA,15,33.07
KARLA ROCIO,15,30.4
LANDY,15,39.6
LARISA,15,39.27
LAURA SELENE,15,32.33
LEODEGARIA,15,46.6
LESBIA,15,42.47
LILIA EDITH,15,36
LILIA GABRIELA,15,35.73
LISETTE,15,32.47
LISSETH,15,29.8
LORELY,15,32.07
LUCELY,15,37.6
LUCIA ELIZABETH,15,35.4
LUISA DEL CARMEN,15,37.73
LUZ ARACELI,15,37.87
LUZ GRACIELA,15,44.4
LUZ GUADALUPE,15,44.75
MA BERTHA,15,50.07
MA ENGRACIA,15,51.33
MA MATILDE,15,46.8
MA. DE LA CRUZ,15,43.12
MA. GUILLERMINA,15,46.07
MA. MARTINA,15,48.33
MA. REMEDIOS,15,44.73
MA.DE LOS ANGELES,15,43.33
MARIA ANTONIE,15,51.07
MARIA APOLINAR,15,48.13
MARIA ASUCENA,15,41.4
MARIA FLORENTINA,15,48
MARIA ICELA,15,45.44
MARIA LETICI,15,49.13
MARIA LINA,15,48.2
MARIA ROSALINA,15,45.13
MARIANA DE JESUS,15,34.53
MARINA DEL CARMEN,15,39.53
MARTHA ALIC,15,48.53
MARTHA ELIDA,15,47.07
MARTHA LEONOR,15,41.6
MARTHA YESENIA,15,36.27
MIRIAM LETICIA,15,37.6
MIRIAM MARGARITA,15,35.53
MIRIAM YADIRA,15,31.07
MIRNA ARACELI,15,38.27
MIRNA ESTHER,15,43.67
MONICA LIZETH,15,29.8
NALLELY GUADALUPE,15,27.2
NANCY ESTHER,15,38
NARDA,15,40
NELDA,15,43.27
NELLY ELIZABETH,15,34.07
NICTE-HA,15,33.73
NORA IMELDA,15,39.2
NORMA RUTH,15,40.6
NUVIA,15,34.87
OLINDA,15,42.2
ONESIMA,15,42.13
ORFELINDA,15,47.53
PAOLA ELIZABETH,15,28.33
PATRICIA IVONNE,15,40.07
PERLA ALEJANDRA,15,30.07
PERLA EDITH,15,30.87
REYNA ALEJANDRA,15,34.33
REYNA ALICIA,15,43.53
REYNA LUZ,15,43.4
ROCIO ANGELICA,15,35.13
ROCIO DE JESUS,15,39.4
ROCIO DEL PILAR,15,40.13
ROSA ELDA,15,43.2
ROSA ESMERALDA,15,34.53
ROSA GLORIA,15,34.73
ROSA HERLINDA,15,43.73
RUBICELI,15,35.07
RUTH NOHEMI,15,33.73
SANDRA MARICELA,15,38
SARA ESTHER,15,43.73
SARA EUGENIA,15,38.88
SARA LILIA,15,39.07
SAYRA,15,32.2
SERENA,15,40.6
SILVIA CONCEPCION,15,44.8
SILVIA LAURA,15,42.6
SILVIA LUZ,15,48.07
SOLEDAD GUADALUPE,15,40.47
SONIA ALEJANDRA,15,34.27
SONIA GABRIELA,15,34.53
TITA,15,49.87
VERONICA JUDITH,15,35.33
YANELLY,15,32.07
YAQUELIN,15,36.2
YEIMY,15,33
YOHANA,15,30.4
ZONIA,15,44.53
ADALIA,14,42.64
ADRIANA VERONICA,14,39
AFRICA,14,37.64
ALBA PATRICIA,14,41.79
ALEJANDR,14,44.14
ALELI,14,31.93
ALMA BERENICE,14,31.64
ALMA EVELIA,14,42.14
ALMA REYNA,14,42.21
ALMADELIA,14,33.71
AMANDA GUADALUPE,14,40.71
ANA BELL,14,42.14
ANA ELVIA,14,40.36
ANA ITZEL,14,27.14
ANA MARIA DEL CARMEN,14,45.14
ANA MARIBEL,14,37.79
ANA REBECA,14,37.79
ANAY,14,29.57
ANGELA PATRICIA,14,40.36
ANTONIA GUADALUPE,14,40.07
ARELY GUADALUPE,14,32
ASALIA,14,38.43
ATANACIA,14,49.07
AVECITA,14,41.64
BERTHA ADRIANA,14,41.93
BLANCA GRACIELA,14,45.5
BLANCA IRMA,14,47.07
BLANCA LILIANA,14,35.93
BLANCA OFELIA,14,47.71
BLANCA SONIA,14,46.64
CARIME,14,37
CEFERINA,14,43.86
CINTHIA KARINA,14,29.5
CITLALLY,14,30.14
CLARA DEL CARMEN,14,37.79
CLAUDIA CATALINA,14,37.07
CLAUDIA ELISA,14,37.71
CLAUDIA ESPERANZA,14,36.93
CLAUDIA MARICELA,14,35.64
CLAUDIA VANESSA,14,30.93
CLAUDIA VIRIDIANA,14,26.57
CLAUDIA YANETH,14,29.86
CONSTANZA,14,49.86
CYNTHIA BERENICE,14,30.57
CYNTHIA FABIOLA,14,30.93
DE JESUS,14,50.43
DE LOS ANGELES,14,53
DIAMANTINA,14,48.14
DIANA ELENA,14,37.71
DIANA IRIS,14,28.93
DIANA IVONNE,14,31.43
DIANEY,14,35.57
EDITH ARACELI,14,42.64
EDNA ELIZABETH,14,37.64
ELAINE,14,31.57
ELBA PATRICIA,14,45.14
ELIA DEL CARMEN,14,41.86
ELSA ADRIANA,14,43.14
EMERENCIANA,14,40.71
ENID,14,35.71
ERIKA PAOLA,14,30.57
ERIKA ROCIO,14,33.71
ESTELA GUADALUPE,14,48.79
EVA YOLANDA,14,47
GEMIMA,14,37.79
GENARA,14,47.64
GEORGINA DEL CARMEN,14,40.86
GLADYS MARIA,14,40.64
GLORIA ADRIANA,14,38.64
GLORIA BERENICE,14,36.07
GLORIA IMELDA,14,44.93
GRACIANA,14,50.64
GUADALUPE BEATRIZ,14,37.21
GUADALUPE JOSEFINA,14,42.27
GUADALUPE LORENA,14,40.21
GUADALUPE LUCIA,14,45.43
GUADALUPE ROCIO,14,42.93
GUMERCINDA,14,48.93
HAIDEE,14,34.5
HILDA DEL CARMEN,14,40.93
HILDA DEL ROSARIO,14,39.93
HILDA VERONICA,14,39.5
HILDEGARDA,14,43.36
HIMELDA,14,40.29
HUMBERTINA,14,47.86
ILIANA GUADALUPE,14,34.71
INOCENTA,14,45.36
IRIS ADRIANA,14,30.14
IRMA ALEJANDRA,14,36.57
IRMA FABIOLA,14,34.21
IRMA LUCIA,14,43.57
IRMA RAQUEL,14,47.64
IRMA TERESA,14,44.43
ITALIA,14,31.79
JENIFFER,14,29.43
JESSICA ELIZABETH,14,28.21
JESSICA LIZBETH,14,28.57
JESUS DEL CARMEN,14,42.25
JORGINA,14,45
JOVA,14,43.29
JUANA AURORA,14,45.14
JUANA JUDITH,14,40
JULIA EDITH,14,41.79
KARLA MARCELA,14,32.29
KARLA PAULINA,14,27.71
